Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
3blobs,Gaussian,Agglomerative,Complete,0.1,0.5694 (0.12)
3blobs,Gaussian,MultiMember,Average,0.1,0.6742 (0.08)
3blobs,Gaussian,MultiMember,Single,0.1,0.3513 (0.29)
3blobs,Gaussian,MultiMember,Complete,0.1,0.6354 (0.08)
3blobs,Gaussian,K-Means,Average,0.15,0.6277 (0.07)
3blobs,Gaussian,K-Means,Single,0.15,0.475 (0.03)
3blobs,Gaussian,K-Means,Complete,0.15,0.4886 (0.13)
3blobs,Gaussian,Agglomerative,Average,0.15,0.622 (0.03)
3blobs,Gaussian,Agglomerative,Single,0.15,0.4993 (0.06)
3blobs,Gaussian,Agglomerative,Complete,0.15,0.5208 (0.07)
3blobs,Gaussian,MultiMember,Average,0.15,0.6267 (0.03)
3blobs,Gaussian,MultiMember,Single,0.15,0.4239 (0.02)
3blobs,Gaussian,MultiMember,Complete,0.15,0.5298 (0.05)
3blobs,Gaussian,K-Means,Average,0.25,0.4754 (0.05)
3blobs,Gaussian,K-Means,Single,0.25,0.1877 (0.22)
3blobs,Gaussian,K-Means,Complete,0.25,0.4247 (0.06)
3blobs,Gaussian,Agglomerative,Average,0.25,0.4962 (0.0)
3blobs,Gaussian,Agglomerative,Single,0.25,0.262 (0.13)
3blobs,Gaussian,Agglomerative,Complete,0.25,0.3649 (0.09)
3blobs,Gaussian,MultiMember,Average,0.25,0.5071 (0.01)
3blobs,Gaussian,MultiMember,Single,0.25,0.2892 (0.23)
3blobs,Gaussian,MultiMember,Complete,0.25,0.3904 (0.07)
3blobs,Uniform,K-Means,Average,0,0.956 (0.01)
3blobs,Uniform,K-Means,Single,0,0.9626 (0.01)
3blobs,Uniform,K-Means,Complete,0,0.9635 (0.01)
3blobs,Uniform,Agglomerative,Average,0,0.9802 (0.0)
3blobs,Uniform,Agglomerative,Single,0,0.9802 (0.0)
3blobs,Uniform,Agglomerative,Complete,0,0.9291 (0.1)
3blobs,Uniform,MultiMember,Average,0,0.9758 (0.01)
3blobs,Uniform,MultiMember,Single,0,0.9703 (0.01)
3blobs,Uniform,MultiMember,Complete,0,0.8578 (0.1)
3blobs,Uniform,K-Means,Average,0.02,0.9337 (0.0)
3blobs,Uniform,K-Means,Single,0.02,0.8881 (0.1)
3blobs,Uniform,K-Means,Complete,0.02,0.8118 (0.11)
3blobs,Uniform,Agglomerative,Average,0.02,0.9348 (0.01)
3blobs,Uniform,Agglomerative,Single,0.02,0.676 (0.0)
3blobs,Uniform,Agglomerative,Complete,0.02,0.8393 (0.12)
3blobs,Uniform,MultiMember,Average,0.02,0.9404 (0.0)
3blobs,Uniform,MultiMember,Single,0.02,0.8885 (0.1)
3blobs,Uniform,MultiMember,Complete,0.02,0.8013 (0.08)
3blobs,Uniform,K-Means,Average,0.05,0.8198 (0.0)
3blobs,Uniform,K-Means,Single,0.05,0.7708 (0.1)
3blobs,Uniform,K-Means,Complete,0.05,0.6516 (0.14)
3blobs,Uniform,Agglomerative,Average,0.05,0.8084 (0.01)
3blobs,Uniform,Agglomerative,Single,0.05,0.5821 (0.01)
3blobs,Uniform,Agglomerative,Complete,0.05,0.7659 (0.1)
3blobs,Uniform,MultiMember,Average,0.05,0.8198 (0.0)
3blobs,Uniform,MultiMember,Single,0.05,0.631 (0.09)
3blobs,Uniform,MultiMember,Complete,0.05,0.6798 (0.12)
3blobs,Uniform,K-Means,Average,0.1,0.7229 (0.02)
3blobs,Uniform,K-Means,Single,0.1,0.3191 (0.25)
3blobs,Uniform,K-Means,Complete,0.1,0.7078 (0.02)
3blobs,Uniform,Agglomerative,Average,0.1,0.6819 (0.0)
3blobs,Uniform,Agglomerative,Single,0.1,0.6826 (0.0)
3blobs,Uniform,Agglomerative,Complete,0.1,0.6832 (0.0)
3blobs,Uniform,MultiMember,Average,0.1,0.7046 (0.01)
3blobs,Uniform,MultiMember,Single,0.1,0.5176 (0.02)
3blobs,Uniform,MultiMember,Complete,0.1,0.6267 (0.08)
3blobs,Uniform,K-Means,Average,0.15,0.5467 (0.0)
3blobs,Uniform,K-Means,Single,0.15,0.441 (0.09)
3blobs,Uniform,K-Means,Complete,0.15,0.537 (0.01)
3blobs,Uniform,Agglomerative,Average,0.15,0.5336 (0.04)
3blobs,Uniform,Agglomerative,Single,0.15,0.3459 (0.04)
3blobs,Uniform,Agglomerative,Complete,0.15,0.4437 (0.09)
3blobs,Uniform,MultiMember,Average,0.15,0.5549 (0.03)
3blobs,Uniform,MultiMember,Single,0.15,0.2352 (0.18)
3blobs,Uniform,MultiMember,Complete,0.15,0.523 (0.05)
3blobs,Uniform,K-Means,Average,0.25,0.4476 (0.01)
3blobs,Uniform,K-Means,Single,0.25,0.1375 (0.14)
3blobs,Uniform,K-Means,Complete,0.25,0.3719 (0.04)
3blobs,Uniform,Agglomerative,Average,0.25,0.374 (0.07)
3blobs,Uniform,Agglomerative,Single,0.25,0.1549 (0.15)
3blobs,Uniform,Agglomerative,Complete,0.25,0.2846 (0.15)
3blobs,Uniform,MultiMember,Average,0.25,0.376 (0.06)
3blobs,Uniform,MultiMember,Single,0.25,0.0805 (0.1)
3blobs,Uniform,MultiMember,Complete,0.25,0.345 (0.04)
3blobs,Quantization,K-Means,Average,0,0.9603 (0.01)
3blobs,Quantization,K-Means,Single,0,0.9626 (0.01)
3blobs,Quantization,K-Means,Complete,0,0.9625 (0.01)
3blobs,Quantization,Agglomerative,Average,0,0.9802 (0.0)
3blobs,Quantization,Agglomerative,Single,0,0.9802 (0.0)
3blobs,Quantization,Agglomerative,Complete,0,0.9236 (0.1)
3blobs,Quantization,MultiMember,Average,0,0.967 (0.01)
3blobs,Quantization,MultiMember,Single,0,0.9725 (0.01)
3blobs,Quantization,MultiMember,Complete,0,0.9703 (0.01)
3blobs,Quantization,K-Means,Average,0.02,0.9681 (0.01)
3blobs,Quantization,K-Means,Single,0.02,0.9626 (0.01)
3blobs,Quantization,K-Means,Complete,0.02,0.9691 (0.0)
3blobs,Quantization,Agglomerative,Average,0.02,0.9527 (0.0)
3blobs,Quantization,Agglomerative,Single,0.02,0.9527 (0.0)
3blobs,Quantization,Agglomerative,Complete,0.02,0.9147 (0.08)
3blobs,Quantization,MultiMember,Average,0.02,0.956 (0.01)
3blobs,Quantization,MultiMember,Single,0.02,0.903 (0.1)
3blobs,Quantization,MultiMember,Complete,0.02,0.9419 (0.03)
3blobs,Quantization,K-Means,Average,0.05,0.9562 (0.0)
3blobs,Quantization,K-Means,Single,0.05,0.8058 (0.12)
3blobs,Quantization,K-Means,Complete,0.05,0.7644 (0.1)
3blobs,Quantization,Agglomerative,Average,0.05,0.9585 (0.01)
3blobs,Quantization,Agglomerative,Single,0.05,0.8501 (0.06)
3blobs,Quantization,Agglomerative,Complete,0.05,0.9099 (0.1)
3blobs,Quantization,MultiMember,Average,0.05,0.9551 (0.01)
3blobs,Quantization,MultiMember,Single,0.05,0.9336 (0.06)
3blobs,Quantization,MultiMember,Complete,0.05,0.8803 (0.1)
3blobs,Quantization,K-Means,Average,0.1,0.9528 (0.01)
3blobs,Quantization,K-Means,Single,0.1,0.9496 (0.01)
3blobs,Quantization,K-Means,Complete,0.1,0.9556 (0.01)
3blobs,Quantization,Agglomerative,Average,0.1,0.8821 (0.06)
3blobs,Quantization,Agglomerative,Single,0.1,0.9047 (0.05)
3blobs,Quantization,Agglomerative,Complete,0.1,0.8856 (0.08)
3blobs,Quantization,MultiMember,Average,0.1,0.939 (0.01)
3blobs,Quantization,MultiMember,Single,0.1,0.9192 (0.05)
3blobs,Quantization,MultiMember,Complete,0.1,0.9289 (0.0)
3blobs,Quantization,K-Means,Average,0.15,0.939 (0.0)
3blobs,Quantization,K-Means,Single,0.15,0.9043 (0.09)
3blobs,Quantization,K-Means,Complete,0.15,0.7861 (0.06)
3blobs,Quantization,Agglomerative,Average,0.15,0.9468 (0.01)
3blobs,Quantization,Agglomerative,Single,0.15,0.8164 (0.1)
3blobs,Quantization,Agglomerative,Complete,0.15,0.9109 (0.07)
3blobs,Quantization,MultiMember,Average,0.15,0.9445 (0.01)
3blobs,Quantization,MultiMember,Single,0.15,0.8131 (0.1)
3blobs,Quantization,MultiMember,Complete,0.15,0.8063 (0.11)
3blobs,Quantization,K-Means,Average,0.25,0.9574 (0.01)
3blobs,Quantization,K-Means,Single,0.25,0.7754 (0.09)
3blobs,Quantization,K-Means,Complete,0.25,0.8743 (0.07)
3blobs,Quantization,Agglomerative,Average,0.25,0.8206 (0.05)
3blobs,Quantization,Agglomerative,Single,0.25,0.9216 (0.02)
3blobs,Quantization,Agglomerative,Complete,0.25,0.8643 (0.04)
3blobs,Quantization,MultiMember,Average,0.25,0.9153 (0.03)
3blobs,Quantization,MultiMember,Single,0.25,0.7623 (0.09)
3blobs,Quantization,MultiMember,Complete,0.25,0.7867 (0.02)
3lines,Gaussian,K-Means,Average,0,0.5454 (0.05)
3lines,Gaussian,K-Means,Single,0,0.1539 (0.1)
3lines,Gaussian,K-Means,Complete,0,0.4921 (0.15)
3lines,Gaussian,Agglomerative,Average,0,0.5695 (0.06)
3lines,Gaussian,Agglomerative,Single,0,0.5763 (0.07)
3lines,Gaussian,Agglomerative,Complete,0,0.5351 (0.11)
3lines,Gaussian,MultiMember,Average,0,0.5659 (0.06)
3lines,Gaussian,MultiMember,Single,0,0.3343 (0.15)
3lines,Gaussian,MultiMember,Complete,0,0.4881 (0.08)
3lines,Gaussian,K-Means,Average,0.02,0.5704 (0.04)
3lines,Gaussian,K-Means,Single,0.02,0.0226 (0.03)
3lines,Gaussian,K-Means,Complete,0.02,0.3939 (0.07)
3lines,Gaussian,Agglomerative,Average,0.02,0.4531 (0.08)
3lines,Gaussian,Agglomerative,Single,0.02,0.3725 (0.05)
3lines,Gaussian,Agglomerative,Complete,0.02,0.2935 (0.07)
3lines,Gaussian,MultiMember,Average,0.02,0.5008 (0.06)
3lines,Gaussian,MultiMember,Single,0.02,0.1608 (0.12)
3lines,Gaussian,MultiMember,Complete,0.02,0.3522 (0.15)
3lines,Gaussian,K-Means,Average,0.05,0.5189 (0.04)
3lines,Gaussian,K-Means,Single,0.05,0.1485 (0.14)
3lines,Gaussian,K-Means,Complete,0.05,0.4452 (0.05)
3lines,Gaussian,Agglomerative,Average,0.05,0.5072 (0.01)
3lines,Gaussian,Agglomerative,Single,0.05,0.4725 (0.09)
3lines,Gaussian,Agglomerative,Complete,0.05,0.3485 (0.13)
3lines,Gaussian,MultiMember,Average,0.05,0.5665 (0.04)
3lines,Gaussian,MultiMember,Single,0.05,0.1806 (0.14)
3lines,Gaussian,MultiMember,Complete,0.05,0.4138 (0.07)
3lines,Gaussian,K-Means,Average,0.1,0.3805 (0.04)
3lines,Gaussian,K-Means,Single,0.1,0.0093 (0.0)
3lines,Gaussian,K-Means,Complete,0.1,0.3798 (0.02)
3lines,Gaussian,Agglomerative,Average,0.1,0.3714 (0.01)
3lines,Gaussian,Agglomerative,Single,0.1,0.3418 (0.05)
3lines,Gaussian,Agglomerative,Complete,0.1,0.3415 (0.03)
3lines,Gaussian,MultiMember,Average,0.1,0.3956 (0.05)
3lines,Gaussian,MultiMember,Single,0.1,0.1661 (0.15)
3lines,Gaussian,MultiMember,Complete,0.1,0.307 (0.09)
3lines,Gaussian,K-Means,Average,0.15,0.4358 (0.01)
3lines,Gaussian,K-Means,Single,0.15,0.0081 (0.0)
3lines,Gaussian,K-Means,Complete,0.15,0.2897 (0.04)
3lines,Gaussian,Agglomerative,Average,0.15,0.3191 (0.02)
3lines,Gaussian,Agglomerative,Single,0.15,0.263 (0.02)
3lines,Gaussian,Agglomerative,Complete,0.15,0.2971 (0.02)
3lines,Gaussian,MultiMember,Average,0.15,0.3574 (0.04)
3lines,Gaussian,MultiMember,Single,0.15,0.2496 (0.01)
3lines,Gaussian,MultiMember,Complete,0.15,0.2298 (0.1)
3lines,Gaussian,K-Means,Average,0.25,0.2508 (0.03)
3lines,Gaussian,K-Means,Single,0.25,0.0081 (0.0)
