Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
2blobs_spray,Quantization,K-Means,Complete,0.05,0.6083 (0.03)
2blobs_spray,Quantization,Agglomerative,Average,0.05,0.7216 (0.03)
2blobs_spray,Quantization,Agglomerative,Single,0.05,0.7356 (0.03)
2blobs_spray,Quantization,Agglomerative,Complete,0.05,0.6721 (0.07)
2blobs_spray,Quantization,MultiMember,Average,0.05,0.7271 (0.06)
2blobs_spray,Quantization,MultiMember,Single,0.05,0.7163 (0.01)
2blobs_spray,Quantization,MultiMember,Complete,0.05,0.6728 (0.06)
2blobs_spray,Quantization,K-Means,Average,0.1,0.6632 (0.02)
2blobs_spray,Quantization,K-Means,Single,0.1,0.7265 (0.03)
2blobs_spray,Quantization,K-Means,Complete,0.1,0.6251 (0.07)
2blobs_spray,Quantization,Agglomerative,Average,0.1,0.7423 (0.03)
2blobs_spray,Quantization,Agglomerative,Single,0.1,0.7292 (0.03)
2blobs_spray,Quantization,Agglomerative,Complete,0.1,0.6854 (0.08)
2blobs_spray,Quantization,MultiMember,Average,0.1,0.6944 (0.05)
2blobs_spray,Quantization,MultiMember,Single,0.1,0.7184 (0.02)
2blobs_spray,Quantization,MultiMember,Complete,0.1,0.6622 (0.03)
2blobs_spray,Quantization,K-Means,Average,0.15,0.6933 (0.05)
2blobs_spray,Quantization,K-Means,Single,0.15,0.4422 (0.33)
2blobs_spray,Quantization,K-Means,Complete,0.15,0.64 (0.05)
2blobs_spray,Quantization,Agglomerative,Average,0.15,0.7527 (0.03)
2blobs_spray,Quantization,Agglomerative,Single,0.15,0.5775 (0.27)
2blobs_spray,Quantization,Agglomerative,Complete,0.15,0.6906 (0.07)
2blobs_spray,Quantization,MultiMember,Average,0.15,0.6744 (0.06)
2blobs_spray,Quantization,MultiMember,Single,0.15,0.4127 (0.31)
2blobs_spray,Quantization,MultiMember,Complete,0.15,0.7044 (0.04)
2blobs_spray,Quantization,K-Means,Average,0.25,0.6793 (0.05)
2blobs_spray,Quantization,K-Means,Single,0.25,0.3043 (0.34)
2blobs_spray,Quantization,K-Means,Complete,0.25,0.6252 (0.06)
2blobs_spray,Quantization,Agglomerative,Average,0.25,0.6985 (0.04)
2blobs_spray,Quantization,Agglomerative,Single,0.25,0.6909 (0.0)
2blobs_spray,Quantization,Agglomerative,Complete,0.25,0.62 (0.11)
2blobs_spray,Quantization,MultiMember,Average,0.25,0.715 (0.05)
2blobs_spray,Quantization,MultiMember,Single,0.25,0.5597 (0.27)
2blobs_spray,Quantization,MultiMember,Complete,0.25,0.5952 (0.1)
3blobs,Gaussian,K-Means,Average,0,0.9493 (0.01)
3blobs,Gaussian,K-Means,Single,0,0.946 (0.03)
3blobs,Gaussian,K-Means,Complete,0,0.9548 (0.02)
3blobs,Gaussian,Agglomerative,Average,0,0.9802 (0.0)
3blobs,Gaussian,Agglomerative,Single,0,0.9169 (0.1)
3blobs,Gaussian,Agglomerative,Complete,0,0.8531 (0.12)
3blobs,Gaussian,MultiMember,Average,0,0.9626 (0.01)
3blobs,Gaussian,MultiMember,Single,0,0.9112 (0.09)
3blobs,Gaussian,MultiMember,Complete,0,0.9048 (0.09)
3blobs,Gaussian,K-Means,Average,0.02,0.9183 (0.01)
3blobs,Gaussian,K-Means,Single,0.02,0.7467 (0.09)
3blobs,Gaussian,K-Means,Complete,0.02,0.8896 (0.04)
3blobs,Gaussian,Agglomerative,Average,0.02,0.824 (0.09)
3blobs,Gaussian,Agglomerative,Single,0.02,0.8534 (0.08)
3blobs,Gaussian,Agglomerative,Complete,0.02,0.7669 (0.11)
3blobs,Gaussian,MultiMember,Average,0.02,0.9069 (0.02)
3blobs,Gaussian,MultiMember,Single,0.02,0.8222 (0.11)
3blobs,Gaussian,MultiMember,Complete,0.02,0.7764 (0.12)
3blobs,Gaussian,K-Means,Average,0.05,0.8157 (0.01)
3blobs,Gaussian,K-Means,Single,0.05,0.6517 (0.09)
3blobs,Gaussian,K-Means,Complete,0.05,0.7479 (0.09)
3blobs,Gaussian,Agglomerative,Average,0.05,0.7765 (0.07)
3blobs,Gaussian,Agglomerative,Single,0.05,0.6361 (0.09)
3blobs,Gaussian,Agglomerative,Complete,0.05,0.7045 (0.14)
3blobs,Gaussian,MultiMember,Average,0.05,0.8122 (0.01)
3blobs,Gaussian,MultiMember,Single,0.05,0.3673 (0.29)
3blobs,Gaussian,MultiMember,Complete,0.05,0.6921 (0.08)
3blobs,Gaussian,K-Means,Average,0.1,0.6329 (0.1)
3blobs,Gaussian,K-Means,Single,0.1,0.3519 (0.29)
3blobs,Gaussian,K-Means,Complete,0.1,0.5848 (0.09)
3blobs,Gaussian,Agglomerative,Average,0.1,0.5951 (0.1)
3blobs,Gaussian,Agglomerative,Single,0.1,0.4958 (0.26)
3blobs,Gaussian,Agglomerative,Complete,0.1,0.6452 (0.08)
3blobs,Gaussian,MultiMember,Average,0.1,0.7144 (0.03)
3blobs,Gaussian,MultiMember,Single,0.1,0.4202 (0.2)
3blobs,Gaussian,MultiMember,Complete,0.1,0.5818 (0.1)
3blobs,Gaussian,K-Means,Average,0.15,0.554 (0.09)
3blobs,Gaussian,K-Means,Single,0.15,0.095 (0.16)
3blobs,Gaussian,K-Means,Complete,0.15,0.55 (0.09)
3blobs,Gaussian,Agglomerative,Average,0.15,0.5254 (0.12)
3blobs,Gaussian,Agglomerative,Single,0.15,0.1864 (0.22)
3blobs,Gaussian,Agglomerative,Complete,0.15,0.3785 (0.19)
3blobs,Gaussian,MultiMember,Average,0.15,0.6304 (0.01)
3blobs,Gaussian,MultiMember,Single,0.15,0.3554 (0.17)
3blobs,Gaussian,MultiMember,Complete,0.15,0.5244 (0.08)
3blobs,Gaussian,K-Means,Average,0.25,0.4904 (0.01)
3blobs,Gaussian,K-Means,Single,0.25,0.0842 (0.15)
3blobs,Gaussian,K-Means,Complete,0.25,0.4029 (0.06)
3blobs,Gaussian,Agglomerative,Average,0.25,0.4324 (0.07)
3blobs,Gaussian,Agglomerative,Single,0.25,0.1924 (0.16)
3blobs,Gaussian,Agglomerative,Complete,0.25,0.4409 (0.04)
3blobs,Gaussian,MultiMember,Average,0.25,0.4395 (0.03)
3blobs,Gaussian,MultiMember,Single,0.25,0.074 (0.13)
3blobs,Gaussian,MultiMember,Complete,0.25,0.4613 (0.05)
3blobs,Uniform,K-Means,Average,0,0.9516 (0.0)
3blobs,Uniform,K-Means,Single,0,0.8543 (0.11)
3blobs,Uniform,K-Means,Complete,0,0.9153 (0.06)
3blobs,Uniform,Agglomerative,Average,0,0.93 (0.1)
3blobs,Uniform,Agglomerative,Single,0,0.9181 (0.1)
3blobs,Uniform,Agglomerative,Complete,0,0.8969 (0.11)
3blobs,Uniform,MultiMember,Average,0,0.9648 (0.02)
3blobs,Uniform,MultiMember,Single,0,0.8908 (0.09)
3blobs,Uniform,MultiMember,Complete,0,0.8589 (0.12)
3blobs,Uniform,K-Means,Average,0.02,0.9188 (0.01)
3blobs,Uniform,K-Means,Single,0.02,0.815 (0.11)
3blobs,Uniform,K-Means,Complete,0.02,0.9019 (0.01)
3blobs,Uniform,Agglomerative,Average,0.02,0.9136 (0.01)
3blobs,Uniform,Agglomerative,Single,0.02,0.6864 (0.01)
3blobs,Uniform,Agglomerative,Complete,0.02,0.8214 (0.1)
3blobs,Uniform,MultiMember,Average,0.02,0.9193 (0.01)
3blobs,Uniform,MultiMember,Single,0.02,0.8645 (0.11)
3blobs,Uniform,MultiMember,Complete,0.02,0.9114 (0.01)
3blobs,Uniform,K-Means,Average,0.05,0.7048 (0.08)
3blobs,Uniform,K-Means,Single,0.05,0.4759 (0.24)
3blobs,Uniform,K-Means,Complete,0.05,0.6321 (0.08)
3blobs,Uniform,Agglomerative,Average,0.05,0.5865 (0.0)
3blobs,Uniform,Agglomerative,Single,0.05,0.5922 (0.08)
3blobs,Uniform,Agglomerative,Complete,0.05,0.6317 (0.1)
3blobs,Uniform,MultiMember,Average,0.05,0.6739 (0.08)
3blobs,Uniform,MultiMember,Single,0.05,0.4706 (0.24)
3blobs,Uniform,MultiMember,Complete,0.05,0.6426 (0.08)
3blobs,Uniform,K-Means,Average,0.1,0.6848 (0.01)
3blobs,Uniform,K-Means,Single,0.1,0.4298 (0.21)
3blobs,Uniform,K-Means,Complete,0.1,0.5704 (0.07)
3blobs,Uniform,Agglomerative,Average,0.1,0.3091 (0.25)
3blobs,Uniform,Agglomerative,Single,0.1,0.5762 (0.06)
3blobs,Uniform,Agglomerative,Complete,0.1,0.5558 (0.12)
3blobs,Uniform,MultiMember,Average,0.1,0.652 (0.07)
3blobs,Uniform,MultiMember,Single,0.1,0.3324 (0.26)
3blobs,Uniform,MultiMember,Complete,0.1,0.6039 (0.09)
3blobs,Uniform,K-Means,Average,0.15,0.5464 (0.07)
3blobs,Uniform,K-Means,Single,0.15,0.4562 (0.01)
3blobs,Uniform,K-Means,Complete,0.15,0.5363 (0.07)
3blobs,Uniform,Agglomerative,Average,0.15,0.3945 (0.21)
3blobs,Uniform,Agglomerative,Single,0.15,0.5119 (0.09)
3blobs,Uniform,Agglomerative,Complete,0.15,0.4566 (0.1)
3blobs,Uniform,MultiMember,Average,0.15,0.616 (0.01)
3blobs,Uniform,MultiMember,Single,0.15,0.342 (0.16)
3blobs,Uniform,MultiMember,Complete,0.15,0.4701 (0.23)
3blobs,Uniform,K-Means,Average,0.25,0.3962 (0.01)
3blobs,Uniform,K-Means,Single,0.25,0.017 (0.01)
3blobs,Uniform,K-Means,Complete,0.25,0.2918 (0.02)
3blobs,Uniform,Agglomerative,Average,0.25,0.2565 (0.12)
3blobs,Uniform,Agglomerative,Single,0.25,0.0647 (0.1)
3blobs,Uniform,Agglomerative,Complete,0.25,0.2667 (0.12)
3blobs,Uniform,MultiMember,Average,0.25,0.3855 (0.02)
3blobs,Uniform,MultiMember,Single,0.25,0.1823 (0.14)
3blobs,Uniform,MultiMember,Complete,0.25,0.3174 (0.05)
3blobs,Quantization,K-Means,Average,0,0.9527 (0.0)
3blobs,Quantization,K-Means,Single,0,0.9504 (0.0)
3blobs,Quantization,K-Means,Complete,0,0.9317 (0.03)
3blobs,Quantization,Agglomerative,Average,0,0.93 (0.1)
3blobs,Quantization,Agglomerative,Single,0,0.9248 (0.11)
3blobs,Quantization,Agglomerative,Complete,0,0.8882 (0.11)
3blobs,Quantization,MultiMember,Average,0,0.9593 (0.01)
3blobs,Quantization,MultiMember,Single,0,0.8586 (0.12)
3blobs,Quantization,MultiMember,Complete,0,0.8801 (0.11)
3blobs,Quantization,K-Means,Average,0.02,0.9504 (0.0)
3blobs,Quantization,K-Means,Single,0.02,0.908 (0.09)
3blobs,Quantization,K-Means,Complete,0.02,0.877 (0.08)
3blobs,Quantization,Agglomerative,Average,0.02,0.9527 (0.0)
3blobs,Quantization,Agglomerative,Single,0.02,0.9527 (0.0)
3blobs,Quantization,Agglomerative,Complete,0.02,0.9527 (0.0)
3blobs,Quantization,MultiMember,Average,0.02,0.956 (0.01)
3blobs,Quantization,MultiMember,Single,0.02,0.9039 (0.1)
3blobs,Quantization,MultiMember,Complete,0.02,0.8637 (0.11)
3blobs,Quantization,K-Means,Average,0.05,0.9527 (0.0)
